symbol,currency,categoryName,currencyProfit,quoteId,quoteIdCross,marginMode,profitMode,pipsPrecision,contractSize,exemode,time,expiration,stopsLevel,precision,swapType,stepRuleId,type,instantMaxVolume,groupName,description,longOnly,trailingEnabled,marginHedgedStrong,swapEnable,percentage,bid,ask,high,low,lotMin,lotMax,lotStep,tickSize,tickValue,swapLong,swapShort,leverage,spreadRaw,spreadTable,starting,swap_rollover3days,marginMaintenance,marginHedged,initialMargin,timeString,shortSelling,currencyPair
RKT.US,USD,STC,USD,6,15,104,6,2,1,1,1738961746321,,0,2,2,12,2436,2147483647,US,Rocket Companies Inc - class A,True,False,False,True,100.0,12.74,12.76,13.04,12.67,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.02,2.0,,0,0,0,0,Fri Feb 07 21:55:46 CET 2025,False,False
APAM.US_9,USD,STC,USD,6,15,104,6,2,1,1,1738961982851,,0,2,2,12,2436,2147483647,US,Artisan Partners Asset Management Inc - class A,True,False,False,True,100.0,44.58,44.61,45.07,44.22,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.03,3.0,,0,0,0,0,Fri Feb 07 21:59:42 CET 2025,False,False
TCH.FR_4,EUR,STC,EUR,6,4,103,6,4,1,1,1738946416867,,0,4,2,623,15,2147483647,France,close only/ Technicolor SA CFD,True,False,False,True,100.0,0.1088,0.1102,0.115,0.1078,1.0,1000000.0,1.0,0.0001,0.0001,0.0,0.0,100.0,0.0014,14.0,,0,0,0,0,Fri Feb 07 17:40:16 CET 2025,False,False
TWLO.US_4,USD,STC,USD,6,4,103,6,2,1,1,1738961979843,,0,2,2,671,13,2147483647,US,Twilio Inc - class A CFD,False,False,False,True,100.0,145.7,146.23,147.88,145.27,1.0,1000000.0,1.0,0.01,0.01,-0.02458,-0.00042,20.0,0.53,53.0,,0,0,0,0,Fri Feb 07 21:59:39 CET 2025,True,False
TEF1.ES_9,EUR,STC,EUR,6,15,104,6,4,1,1,1738946686693,,0,4,2,225,2431,2147483647,Spain,Telefonica SA,True,False,False,True,100.0,4.1,4.101,4.135,4.031,1.0,1000000.0,1.0,0.0001,0.0001,0.0,0.0,100.0,0.001,10.0,,0,0,0,0,Fri Feb 07 17:44:46 CET 2025,False,False
CBUF.DE,EUR,ETF,EUR,6,15,104,6,4,1,1,1738946694728,,0,4,2,226,3052,2147483647,ETFs,"iShares, UCITS, DIST, EUR",True,False,False,True,100.0,6.972,6.979,7.008,6.9,1.0,1000000.0,1.0,0.0001,0.0001,0.0,0.0,100.0,0.007,70.0,,0,0,0,0,Fri Feb 07 17:44:54 CET 2025,False,False
UCRH.DE,EUR,ETF,EUR,6,15,104,6,4,1,1,1738946674139,,0,4,2,276,3052,2147483647,ETFs,"AMUNDI, UCITS, DIST, EUR",True,False,False,True,100.0,38.864,38.938,39.092,31.816,1.0,1000000.0,1.0,0.0001,0.0001,0.0,0.0,100.0,0.074,740.0,,0,0,0,0,Fri Feb 07 17:44:34 CET 2025,False,False
VU.FR_4,EUR,STC,EUR,6,4,103,6,2,1,1,1738946652543,,0,2,2,624,15,2147483647,France,Vusiongroup SA CFD,True,False,False,True,100.0,163.4,164.2,165.9,163.4,1.0,1000000.0,1.0,0.01,0.01,-0.02062,-0.00438,30.0,0.8,80.0,,0,0,0,0,Fri Feb 07 17:44:12 CET 2025,False,False
DFEP.UK,GBP,ETF,GBP,6,15,104,6,3,1,1,1738945571705,,0,3,2,226,3055,2147483647,ETFs,"WisdomTree, UCITS, ACC, GBP",True,False,False,True,100.0,16.546,17.188,17.204,16.456,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.642,642.0,,0,0,0,0,Fri Feb 07 17:26:11 CET 2025,False,False
CGCBV.FI_9,EUR,STC,EUR,6,15,104,6,2,1,1,1738946398784,,0,2,2,224,2422,2147483647,Finland,Cargotec Oyj - class B ,True,False,False,True,100.0,47.46,47.65,48.87,46.88,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.19,19.0,,0,0,0,0,Fri Feb 07 17:39:58 CET 2025,False,False
